VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PickupCell,DropoffCell
1,4/12/15 22:53,4/12/15 23:08,1,1.6,-73.977,40.765,1,N,-73.97988892,40.74806213,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,25:64,27:67
2,4/12/15 22:53,4/12/15 23:14,1,4.14,-73.984,40.728,1,N,-73.99672699,40.69099045,1,16.0,0.5,0.5,4.32,0.0,0.3,21.62,28:71,31:78
2,4/12/15 22:53,4/12/15 23:10,1,4.63,-73.967,40.761,1,N,-73.98713684,40.72251129,1,17.0,0.5,0.5,3.66,0.0,0.3,21.96,27:63,28:72
2,4/12/15 22:53,4/12/15 23:10,1,3.47,-74.009,40.719,1,N,-73.97926331,40.7531395,1,14.0,0.5,0.5,2.0,0.0,0.3,17.3,25:75,26:66
2,4/12/15 22:53,4/12/15 22:57,1,0.85,-74.005,40.72,1,N,-74.0011673,40.73154831,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,26:74,25:72
1,4/12/15 22:53,4/12/15 23:10,1,2.4,-73.977,40.749,1,N,-74.0059967,40.73992157,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,27:66,1.007638889
1,4/12/15 22:53,4/12/15 23:06,1,1.5,-73.988,40.764,1,N,-74.00416565,40.74810028,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55,1.003472222,1.006944444
2,4/12/15 22:53,4/12/15 23:12,5,10.86,-73.863,40.769,1,N,-73.97229767,40.75656509,1,30.5,0.5,0.5,7.47,5.54,0.3,44.81,43:50:00,27:65
2,4/12/15 22:53,4/12/15 23:27,2,10.43,-73.98,40.775,1,N,-73.96366882,40.68470383,2,33.0,0.5,0.5,0.0,0.0,0.3,34.3,1.002083333,37:75
2,4/12/15 22:53,4/12/15 23:01,5,2.24,-73.967,40.756,1,N,-73.94458771,40.77981949,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,28:64,29:58:00
2,4/12/15 22:53,4/12/15 22:59,1,0.91,-73.988,40.748,1,N,-73.97634125,40.74208832,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,25:68,28:67
2,4/12/15 22:53,4/12/15 23:12,2,2.78,-73.982,40.757,1,N,-74.00019073,40.72868729,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,25:66,26:72
2,4/12/15 22:53,4/12/15 23:17,1,2.59,-73.977,40.761,1,N,-73.99372101,40.74013138,1,16.0,0.5,0.5,3.46,0.0,0.3,20.76,25:64,25:70
2,4/12/15 22:53,4/12/15 23:01,1,1.78,-73.952,40.778,1,N,-73.94960022,40.79707336,1,8.0,0.5,0.5,1.5,0.0,0.3,10.8,28:59:00,26:55:00
2,4/12/15 22:53,4/12/15 22:58,6,0.69,-73.981,40.734,1,N,-73.9813385,40.74131012,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,28:69,27:68
1,4/12/15 22:53,4/12/15 22:55,1,0.2,-73.944,40.795,1,N,-73.94174957,40.79579926,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,27:55:00,27:55:00
1,4/12/15 22:53,4/12/15 23:21,1,4.8,-74.002,40.741,1,N,-73.97214508,40.69316101,1,20.5,0.5,0.5,2.0,0.0,0.3,23.8,24:71,34:75
2,4/12/15 22:53,4/12/15 22:57,3,1.31,-73.965,40.757,1,N,-73.95896149,40.7716217,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,28:64,27:61
2,4/12/15 22:53,4/12/15 23:10,1,3.95,-73.989,40.763,1,N,-74.0104599,40.71398544,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3,1.004166667,26:76
