pickup_latitude,pickup_longitude,n
40.758,-73.968,13
40.761,-73.931,3
40.683,-74.0,1
40.647,-73.777,5
40.707,-74.018,2
40.688,-73.978,1
40.738,-74.009,7
40.683,-73.996,1
40.749,-73.99,11
40.712,-74.011,3
40.708,-74.015,8
40.692,-73.946,1
40.713,-73.959,4
40.744,-73.926,2
40.645,-73.792,6
40.79,-73.97,41
40.714,-73.999,19
40.74,-74.009,5
40.773,-73.963,12
40.771,-73.952,3
40.778,-73.944,5
40.692,-73.995,1
40.761,-73.962,9
40.754,-73.998,3
40.738,-73.98,20
40.697,-73.991,2
40.739,-74.002,14
40.725,-73.951,1
40.747,-73.978,15
40.714,-73.935,2
40.824,-73.949,1
40.683,-73.965,1
40.781,-73.979,7
40.71,-73.958,5
40.819,-73.945,1
40.751,-73.984,8
40.747,-73.984,71
40.768,-73.992,3
40.802,-73.964,7
40.81,-73.951,5
40.724,-73.994,10
40.682,-73.95,1
40.721,-74.003,6
40.621,-73.935,1
40.762,-73.995,2
40.742,-73.998,22
40.789,-73.971,14
40.665,-73.802,1
40.735,-73.982,11
40.802,-73.963,2
40.726,-73.985,3
40.786,-73.943,4
40.648,-73.786,7
40.708,-74.013,16
40.753,-73.983,11
40.76,-73.936,1
40.771,-73.867,8
40.836,-73.944,1
40.707,-74.009,12
40.733,-73.999,11
40.768,-73.955,17
40.722,-74.001,5
40.798,-73.961,3
40.695,-74.104,1
40.76,-73.993,3
40.719,-74.042,1
40.811,-73.952,4
40.773,-73.981,11
40.779,-73.949,2
40.799,-73.944,1
40.429,-74.082,1
40.798,-73.972,1
40.714,-73.92,1
40.862,-73.925,2
40.71,-74.009,12
40.73,-74.009,6
40.756,-73.941,1
40.683,-73.954,1
40.76,-73.997,11
40.754,-73.995,7
40.824,-73.941,2
40.818,-73.953,3
41.031,-73.772,1
40.717,-74.014,13
40.687,-73.985,5
40.758,-73.999,4
40.802,-73.937,2
40.789,-73.979,3
40.731,-73.976,1
40.645,-73.8,1
40.764,-73.984,17
40.82,-73.944,3
40.682,-73.993,3
40.804,-73.952,4
40.744,-73.997,3
40.749,-73.942,1
40.707,-73.954,1
40.721,-73.999,7
40.697,-73.993,5
40.803,-73.957,2
40.799,-73.951,2
40.671,-73.801,1
40.777,-73.981,3
40.707,-74.017,5
40.793,-73.972,4
40.784,-73.976,2
40.804,-73.955,4
40.645,-73.787,4
40.717,-74.032,1
40.714,-73.987,4
40.741,-73.999,8
40.766,-73.971,8
40.769,-73.944,1
40.714,-73.993,12
40.75,-74.004,6
40.684,-73.978,8
40.772,-73.876,3
40.698,-73.971,1
40.753,-73.988,16
40.655,-73.807,1
40.662,-74.0,1
40.725,-73.975,1
40.672,-73.95,1
40.766,-73.985,2
40.772,-73.981,5
40.772,-73.987,5
40.831,-73.947,3
40.744,-73.994,8
40.782,-73.948,10
40.726,-73.945,1
40.717,-73.954,1
40.796,-73.972,4
40.673,-73.98,1
40.787,-73.968,26
40.771,-73.986,2
40.716,-73.986,2
40.405,-74.095,1
40.719,-74.006,9
40.717,-73.964,2
40.732,-74.009,8
40.77,-73.974,1
40.716,-74.014,4
40.69,-73.982,3
40.724,-73.983,6
